20-11-2011  84323km 46.85L 1.374/L 64.37  "makro machelen" 01:09
29-11-2011  85115km 05.65L 1.475/L  8.33  "shell E40 heverlee" 18:25
29-11-2011  85121km 44.10L 1.363/L 60.11  "dats 11 heverlee" 20:03
09-12-2011  85878km 47.46L 1.377/L 65.35  "euro palace linter" 18:57
18-12-2011  86427km 40.04L 1.371/L 54.89  "shell tervuren" 19:43

02-01-2012  87178km 44.04L 1.360/L 59.89  "dats 11 heverlee" 19:10
12-01-2012  87879km 45.54L 1.401/L 63.80  "euro palace linter" 19:23
23-01-2012  88573km 44.11L 1.381/L 60.92  "dats 11 heverlee" 18:50
01-02-2012  89261km 45.94L 1.378/L 63.31  "shell korbeek-lo" 19:07
10-02-2012  89941km 46.95L 1.411/L 66.25  "shell tervuren" 22:16
18-02-2012  90539km 38.44L 1.409/L 54.16  "lukoil ramegnies"  22:50
28-02-2012  91245km 46.46L 1.399/L 65.00  "dats overijse" 08:45
08-03-2012  91941km 45.78L 1.428/L 65.37  "euro palace linter" 17:13
21-03-2012  92656km 44.63L 1.419/L 63.33  "dats 11 heverlee" 19:11
01-04-2012  93351km 43.98L 1.404/L 61.75  "?" 21:54
09-04-2012  93985km 41.93L 1.405/L 58.91  "dats 11 heverlee" 20:12
19-04-2012  94693km 10.06L 1.553/L 15.62  "q8 heverlee" 08:35
19-04-2012  94781km 39.31L 1.405/L 55.23  "dats 11 heverlee" 19:22
01-05-2012  95146km 42.39L 1.398/L 59.26  "shell tervuren" 17:22
12-05-2012  96159km 50.30L 1.355/L 68.16  "dats 11 heverlee" 18:17
27-05-2012  96960km 44.89L 1.355/L 60.83  "dats 11 heverlee" 11:56
06-06-2012  97730km 46.98L 1.322/L 62.11  "dats 11 heverlee" 19:30
18-06-2012  98455km 43.79L 1.322/L 57.89  "dats 11 heverlee" 19:19
28-06-2012  99217km 48.87L 1.305/L 63.78  "dats 11 heverlee" 20:08
06-07-2012 100010km 45.45L 1.346/L 61.18  "dats 11 heverlee" 18:58
18-07-2012 100760km 46.31L 1.381/L 63.95  "euro palace linter" 18:53
07-08-2012 101511km 45.87L 1.388/L 63.67  "dats 11 heverlee" 22:11
14-08-2012 102275km 45.41L 1.414/L 64.21  "dats 11 heverlee" 21:10
26-08-2012 102984km 41.54L 1.442/L 59.90  "dats 11 heverlee" 09:40
01-09-2012 103671km 45.94L 1.447/L 66.48  "dats 11 heverlee" 17:04
07-09-2012 104490km 49.82L 1.447/L 72.09  "dats 11 heverlee" 18:46
20-09-2012 105264km 44.46L 1.438/L 63.93  "dats 11 heverlee" 18:43
02-10-2012 105994km 47.62L 1.427/L 67.95  "euro palace linter" 19:18
12-10-2012 106725km 47.92L 1.418/L 67.95  "dats 11 heverlee" 19:20
26-10-2012 107493km 10.00L 1.540/L 15.40  "kaspers gingelom" 9:17
26-10-2012 107545km 39.40L 1.390/L 54.77  "dats 11 heverlee" 19:05
04-11-2012 108200km 40.95L 1.408/L 57.66  "shell tervuren" 20:33
16-11-2012 108897km  5.99L 1.546/L  9.26  "q8 heverlee" 8:40
19-11-2012 108982km 42.86L 1.396/L 59.83  "dats 11 heverlee" 14:19
02-12-2012 109692km 45.22L 1.383/L 62.54  "dats 11 heverlee" 13:16
13-12-2012 110414km 45.49L 1.351/L 61.46  "dats 11 heverlee" 19:34

03-01-2013 111110km 44.94L 1.352/L 60.76  "shell tervuren" 19:10
11-01-2013 111810km 47.57L 1.375/L 65.41  "euro palace linter" 18:49
22-01-2013 112573km 45.71L 1.347/L 61.57  "maes tienen" 18:09
01-02-2013 113243km  5.00L 1.500/L  7.50  "q8 heverlee" 8:23
01-02-2013 113332km 46.04L 1.350/L 62.15  "dats 11 heverlee" 19:59
21-02-2013 114694km 47.63L 1.381/L 65.78  "dats 11 heverlee" 18:10
03-03-2013 115412km 45.91L 1.356/L 62.25  "dats 11 heverlee" 20:29
13-03-2013 116146km 45.16L 1.356/L 61.24  "dats 11 heverlee" 18:36
24-03-2013 116882km 44.91L 1.344/L 60.36  "dats 11 heverlee" 19:00
04-04-2013 117548km  8.22L 1.499/L 12.32  "kaspers gingelom" 8:24
02-10-2013 129216km 43.63L 1.315/L 57.37  "dats 24 heverlee" 20:49:18
19-09-2013 128370km  5.00L 1.501/L  7.51  "q8 heverlee" 08:28
11-06-2013 121939km 48.73L 1.292/L 62.96  "dats 11 heverlee" 20:55
31-08-2013 126851km 34.11L 1.526/L 52.05  "q8 leuven" 14:08
22-09-2013 128455km 48.24L 1.329/L 64.11  "dats 24 heverlee" 20:19:18
17-12-2013 133659km  6.03L 1.444/L  8.70  "total blanden" 8:06
20-11-2013 132242km 48.11L 1.285/L 61.82  "dats 24 heverlee" 18:20:41
02-07-2013 123427km 46.55L 1.326/L 61.73  "shell tervuren" 17:59
30-07-2013 124908km 43.32L 1.338/L 57.96  "dats 11 heverlee" 22:15
23-05-2013 120552km 47.31L 1.320/L 62.45  "euro palace linter" 17:24
10-05-2013 119831km 46.41L 1.296/L 60.15  "shell tervuren" 14:47
02-06-2013 121154km 40.64L 1.292/L 52.51  "dats 11 heverlee" 21:45
05-04-2013 117650km 45.04L 1.352/L 60.89  "dats 11 heverlee" 18:56
21-06-2013 122719km 45.32L 1.306/L 59.19  "dats 11 heverlee" 18:13
11-07-2013 124189km 46,00L 1.339/L 61.59  "dats 11 heverlee" 18:30
22-08-2013 126277km 49.35L 1.345/L 66.38  "dats 11 heverlee" 18:24
25-04-2013 119063km 47.23L 1.282/L 60.55  "dats 11 heverlee" 21:36
09-08-2013 125555km 39.37L 1.322/L 52.05  "dats 11 heverlee" 18:34
26-10-2013 130782km 46.59L 1.305/L 60.80  "shell tervuren" 16:05
07-12-2013 132956km 45.57L 1.305/L 59.47  "?" 16:05
24-12-2013 134490km 41.88L 1.322/L 55.37  "shell tervuren" 16:28
17-12-2013 133745km 43.61L 1.284/L 56.00  "dats 24 heverlee" 15:32:13
23-12-2013 134444km  6.14L 1.444/L  8.87  "brussel ?" 11:50
16-10-2013 130004km 47.92L 1.325/L 63.49  "euro palace linter" 18:30
05-09-2013 127612km 49.67L 1.371/L 68.11  "euro palace linter" 18:23

05-08-2014 147833km 14.22L 1.407/L 20.01  "shell tervuren" 20:18
29-04-2014 140986km 49.60L 1.299/L 64.43  "euro palace linter" 17:31
"gulf landen" 19-09-2014 17:28:03 1.279/L 59.64 46.63L 151027km
"euro palace linter" 08-01-2014 17:56 46.67L 1.307/L 61.00 135228km
"shell korbeek lo" 20-08-2014 19:35 1.286/L 40.73L 52.38 148797km
